order_value_gbp,number_of_items,country_0,city_0,type_of_food_2,time_of_day,prep_time_seconds,0
15.75,2.0,1,0,4,3,810.0,827.8961
21.4,4.0,1,0,4,0,820.0,890.7514
16.95,4.0,1,0,4,3,345.0,851.03674
17.4,5.0,1,0,4,0,820.0,806.9943
17.8,5.0,1,0,4,0,269.0,806.9943
45.9,3.0,1,0,4,3,452.0,988.8089
22.95,3.0,1,0,4,0,820.0,885.8163
45.9,3.0,1,0,4,3,744.0,988.8089
21.4,3.0,1,0,4,0,2371.0,890.7514
15.15,5.0,1,0,4,0,820.0,970.3057
24.7,7.0,1,0,4,0,390.0,866.1426
21.4,8.0,1,0,5,3,2239.0,1240.5293
27.1,4.0,1,0,5,0,464.0,961.6458
21.4,3.0,1,0,5,2,271.0,960.2454
21.4,3.0,1,0,5,1,820.0,1138.1079
30.2,4.0,1,0,5,0,756.0,1057.3903
26.2,4.0,1,0,5,2,297.0,935.4009
51.6,6.0,1,0,5,2,1062.0,1131.5753
15.45,2.0,1,0,5,0,820.0,822.37085
21.4,3.0,1,0,5,0,574.0,995.9394
21.5,3.0,1,0,5,0,820.0,940.88086
15.25,2.0,1,0,5,2,775.0,832.5889
21.4,3.0,1,0,5,0,820.0,995.9394
17.9,2.0,1,0,5,1,1736.0,1280.9518
48.0,3.0,1,0,6,1,820.0,1118.8066
43.15,8.0,1,0,6,3,962.0,1118.7621
21.4,3.0,1,0,6,3,2448.0,964.90814
23.95,6.0,1,0,6,3,794.0,992.62384
28.9,4.0,1,0,6,0,606.0,992.6306
21.4,3.0,1,0,6,3,658.0,964.90814
17.5,3.0,1,0,6,3,1016.0,851.92126
28.25,5.0,1,0,6,3,1256.0,998.208
17.5,3.0,1,0,6,1,820.0,1270.1995
25.2,7.0,1,0,6,2,571.0,967.8212
16.25,2.0,1,0,6,1,820.0,1281.2711
28.0,3.0,1,0,6,1,2893.0,1355.6592
36.95,6.0,1,0,6,3,820.0,1054.1119
29.15,4.0,1,0,6,2,777.0,970.73004
30.2,7.0,1,0,6,0,824.0,1111.243
18.0,5.0,1,0,6,2,820.0,880.8194
19.2,4.0,1,0,6,0,922.0,911.3286
21.4,3.0,1,0,6,3,820.0,964.90814
28.45,6.0,1,0,6,2,1342.0,1023.90015
15.75,3.0,1,0,6,3,756.0,844.5324
16.75,3.0,1,0,6,3,472.0,850.33276
31.0,7.0,1,0,6,0,1102.0,1100.7218
18.7,5.0,1,0,6,2,1206.0,880.8194
19.7,3.0,1,0,6,2,697.0,858.1856
31.75,5.0,1,0,6,2,1252.0,1054.0009
21.4,4.0,2,0,7,1,1658.0,885.63525
21.4,3.0,2,0,7,1,2076.0,881.0508
22.7168,3.0,2,0,7,0,820.0,846.6799
21.4,7.0,2,0,7,0,820.0,1019.91534
21.4,3.0,2,0,7,0,553.0,859.05133
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,3.0,2,0,7,2,820.0,768.1582
21.4,3.0,2,0,7,3,820.0,757.292
24.8465,6.0,2,0,7,0,820.0,873.6402
21.4,3.0,2,0,7,2,820.0,768.1582
45.4336,6.0,2,0,7,1,1467.0,998.1666
22.7168,3.0,2,0,7,1,820.0,993.32135
33.3653,7.0,2,0,7,0,820.0,891.72455
22.7168,4.0,2,0,7,2,820.0,760.9654
21.4,3.0,2,0,7,2,820.0,768.1582
22.0069,5.0,2,0,7,2,820.0,764.0461
30.5257,6.0,2,0,7,2,820.0,854.08997
23.4267,5.0,2,0,7,3,820.0,755.74457
21.4,4.0,2,0,7,0,779.0,863.6358
22.0069,4.0,2,0,7,2,820.0,770.73846
21.4,3.0,2,0,7,2,277.0,768.1582
21.4,3.0,2,0,7,1,1626.0,881.0508
21.4,3.0,2,0,7,0,1593.0,859.05133
24.8465,6.0,2,0,7,0,820.0,873.6402
21.4,4.0,2,0,7,0,820.0,863.6358
21.4,3.0,2,0,7,0,820.0,859.05133
22.7168,4.0,2,0,7,0,820.0,851.26434
16.3277,5.0,2,0,7,0,820.0,881.7219
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,4.0,2,0,7,1,820.0,885.63525
22.7168,5.0,2,0,7,3,820.0,757.09125
22.7168,5.0,2,0,7,2,483.0,761.9611
38.3346,5.0,2,0,7,3,820.0,794.34357
21.4,6.0,2,0,7,3,820.0,839.62756
21.4,3.0,2,0,7,0,357.0,859.05133
21.4,3.0,2,0,7,0,820.0,859.05133
21.297,4.0,2,0,7,0,820.0,859.9471
21.297,3.0,2,0,7,0,498.0,845.5487
22.0069,5.0,2,0,7,0,724.0,867.4281
21.4,3.0,2,0,7,2,321.0,768.1582
22.0069,4.0,2,0,7,0,820.0,862.52246
22.7168,4.0,2,0,7,0,820.0,851.26434
21.4,4.0,2,0,7,0,820.0,863.6358
22.7168,6.0,2,0,7,0,820.0,871.1385
16.3277,5.0,2,0,7,2,820.0,825.32074
21.4,3.0,2,0,7,2,820.0,768.1582
21.4,6.0,2,0,7,0,820.0,951.5729
22.7168,5.0,2,0,7,2,820.0,761.9611
32.6554,7.0,2,0,7,2,820.0,841.0133
24.1366,6.0,2,0,7,2,820.0,771.0967
21.297,3.0,2,0,7,2,271.0,754.6556
21.4,3.0,2,0,7,2,820.0,768.1582
24.8465,6.0,2,0,7,0,2018.0,873.6402
27.6861,6.0,2,0,7,0,820.0,882.7823
17.7475,4.0,2,0,7,0,820.0,834.118
22.7168,4.0,2,0,7,2,820.0,760.9654
21.4,3.0,2,0,7,1,820.0,881.0508
24.8465,7.0,2,0,7,0,820.0,851.1682
21.4,3.0,2,0,7,0,820.0,859.05133
18.4574,3.0,2,0,7,0,820.0,822.6152
33.3653,5.0,2,0,7,2,2324.0,847.6593
21.4,4.0,2,0,7,1,820.0,885.63525
21.4,3.0,2,0,7,3,820.0,757.292
21.297,4.0,2,0,7,0,820.0,859.9471
24.1366,7.0,2,0,7,0,820.0,851.38477
34.075199999999995,5.0,2,0,7,2,820.0,840.10785
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,3.0,2,0,7,0,2101.0,859.05133
19.8772,4.0,2,0,7,0,1116.0,871.896
24.8465,6.0,2,0,7,0,820.0,873.6402
21.4,3.0,2,0,7,2,820.0,768.1582
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,3.0,2,0,7,1,1638.0,881.0508
23.4267,5.0,2,0,7,3,820.0,755.74457
21.4,4.0,2,0,7,0,820.0,863.6358
21.4,3.0,2,0,7,0,820.0,859.05133
24.8465,6.0,2,0,7,2,820.0,771.0967
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,3.0,2,0,7,3,820.0,757.292
21.4,3.0,2,0,7,3,820.0,757.292
21.4,3.0,2,0,7,3,820.0,757.292
21.4,3.0,2,0,7,3,820.0,757.292
30.5257,7.0,2,0,7,0,463.0,908.91254
21.297,3.0,2,0,7,0,820.0,845.5487
16.3277,7.0,2,0,7,0,820.0,970.5986
25.5564,5.0,2,0,7,0,820.0,867.223
17.037599999999998,2.0,2,0,7,0,820.0,825.4243
21.4,3.0,2,0,7,2,820.0,768.1582
22.7168,4.0,2,0,7,1,820.0,997.9058
20.5871,5.0,2,0,7,3,820.0,763.9341
21.4,3.0,2,0,7,3,820.0,757.292
22.0069,5.0,2,0,7,3,820.0,759.1762
50.04795,3.0,2,0,7,0,1385.0,834.4942
21.4,3.0,2,0,7,0,820.0,859.05133
21.4,3.0,2,0,7,0,820.0,859.05133
29.1059,5.0,2,0,7,0,1862.0,890.2352
26.2663,4.0,2,0,7,0,820.0,846.1759
21.4,3.0,2,0,7,0,820.0,859.05133
19.8772,4.0,2,0,7,0,820.0,871.896
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,3.0,2,0,7,2,820.0,768.1582
16.3277,5.0,2,0,7,1,703.0,918.1145
22.36185,8.0,2,0,7,0,1742.0,849.16223
22.7168,4.0,2,0,7,0,820.0,851.26434
22.7168,4.0,2,0,7,0,820.0,851.26434
26.9762,6.0,2,0,7,0,820.0,873.6402
23.07175,3.0,2,0,7,0,820.0,845.3332
21.4,3.0,2,0,7,2,820.0,768.1582
36.2049,3.0,2,0,7,2,820.0,848.29553
22.0069,8.0,2,0,7,2,820.0,756.0469
21.4,4.0,2,0,7,0,820.0,863.6358
21.4,3.0,2,0,7,0,656.0,859.05133
26.9762,7.0,2,0,7,0,820.0,851.1682
32.6554,4.0,2,0,7,0,820.0,867.9615
17.7475,4.0,2,0,7,2,820.0,832.399
15.6178,3.0,2,0,7,2,820.0,781.69794
23.4267,6.0,2,0,7,1,820.0,838.62604
23.78165,3.0,2,0,7,2,447.0,779.44574
26.62125,3.0,2,0,7,1,820.0,910.6232
22.7168,5.0,2,0,7,2,820.0,761.9611
21.4,4.0,2,0,7,2,296.0,768.1582
21.4,2.0,2,0,7,2,820.0,745.3828
21.4,3.0,2,0,7,2,820.0,768.1582
22.0069,3.0,2,0,7,1,820.0,883.6311
21.4,4.0,2,0,7,3,820.0,756.2609
21.4,3.0,2,0,7,3,820.0,757.292
21.4,3.0,2,0,7,0,820.0,859.05133
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,3.0,2,0,7,2,820.0,768.1582
34.075199999999995,7.0,2,0,7,2,820.0,831.626
21.297,4.0,2,0,7,2,820.0,764.4695
19.8772,3.0,2,0,7,2,820.0,804.8108
21.4,4.0,2,0,7,2,820.0,768.1582
21.4,2.0,2,0,7,2,820.0,745.3828
21.4,3.0,2,0,7,3,820.0,757.292
22.7168,6.0,2,0,7,0,820.0,871.1385
28.396,6.0,2,0,7,0,820.0,902.57367
21.4,4.0,2,0,7,0,820.0,863.6358
21.297,7.0,2,0,7,2,820.0,833.4467
27.6861,3.0,2,0,7,2,820.0,764.3045
21.4,4.0,2,0,7,0,820.0,863.6358
21.4,3.0,2,0,7,0,820.0,859.05133
22.0069,5.0,2,0,7,0,820.0,867.4281
22.7168,6.0,2,0,7,2,820.0,768.37836
21.4,7.0,2,0,7,2,820.0,928.6844
35.45,4.0,1,0,3,1,820.0,1237.9149
21.4,3.0,1,0,3,0,750.0,883.7358
41.55,7.0,1,0,3,0,598.0,1039.7902
54.5,3.0,1,0,3,0,884.0,1018.78217
21.4,2.0,1,0,3,0,462.0,828.43207
18.9,2.0,1,0,3,2,820.0,800.07715
21.4,2.0,1,0,3,1,820.0,1066.4432
18.15,4.0,1,0,3,0,820.0,829.2218
21.4,3.0,1,0,3,0,1542.0,883.7358
15.75,5.0,1,0,3,0,949.0,800.5008
15.25,2.0,1,0,3,3,820.0,822.31836
15.2,2.0,1,0,3,3,820.0,822.31836
18.3,4.0,1,0,3,3,820.0,854.2927
29.6,4.0,1,0,3,0,503.0,884.83673
16.2,4.0,1,0,3,0,820.0,835.4361
21.4,2.0,1,0,3,1,820.0,1066.4432
17.45,3.0,1,0,3,0,820.0,811.754
15.4,4.0,1,0,3,0,820.0,784.304
15.85,4.0,1,0,3,2,820.0,834.90607
42.7,6.0,1,0,3,3,820.0,1004.9015
19.9,4.0,1,0,3,3,820.0,854.5476
41.0,5.0,1,0,3,0,820.0,946.3909
15.15,2.0,1,0,3,2,820.0,810.7251
15.1,3.0,1,0,3,1,820.0,1176.6481
15.8,3.0,1,0,3,3,820.0,855.2984
15.0,4.0,1,0,3,3,820.0,830.9432
21.05,3.0,1,0,3,0,820.0,878.0202
23.35,5.0,1,0,3,2,820.0,897.6035
22.0,5.0,1,0,3,3,282.0,916.70337
21.4,5.0,1,0,3,3,418.0,953.95435
22.35,5.0,1,0,3,0,820.0,885.9382
21.4,3.0,1,0,3,2,820.0,885.8493
15.3,3.0,1,0,3,3,820.0,824.99664
21.4,2.0,1,0,3,3,820.0,839.836
15.3,4.0,1,0,3,0,453.0,787.25287
15.2,2.0,1,0,3,2,933.0,788.1087
17.5,5.0,1,0,3,3,820.0,856.8318
21.4,3.0,1,0,3,2,820.0,885.8493
30.15,5.0,1,0,3,3,820.0,1023.62964
17.8,3.0,1,0,3,0,820.0,811.754
21.4,2.0,1,0,3,0,820.0,828.43207
15.4,4.0,1,0,3,0,820.0,784.304
15.35,6.0,1,0,3,0,820.0,797.7839
21.4,3.0,1,0,3,3,820.0,905.2431
17.05,2.0,1,0,3,3,820.0,837.0265
21.4,2.0,1,0,3,3,603.0,839.836
28.5,5.0,1,0,3,3,820.0,927.00037
16.8,2.0,1,0,3,0,532.0,825.8499
21.4,4.0,1,0,3,3,820.0,905.2431
16.15,4.0,1,0,3,0,820.0,835.4361
48.85,5.0,1,0,3,0,915.0,1018.0266
16.55,3.0,1,0,3,2,820.0,837.6262
20.25,3.0,1,0,3,1,2305.0,1216.7355
15.5,3.0,1,0,3,0,528.0,804.7513
20.05,3.0,1,0,3,3,820.0,892.39716
15.65,4.0,1,0,3,3,820.0,852.5613
28.95,5.0,1,0,3,0,820.0,893.4232
18.65,5.0,1,0,3,2,820.0,842.7567
23.7,3.0,1,0,3,0,820.0,882.23596
19.8,4.0,1,0,3,2,820.0,834.70905
21.4,3.0,1,0,3,3,820.0,905.2431
18.75,4.0,1,0,3,2,374.0,834.45416
17.1,5.0,1,0,3,2,820.0,851.7745
17.35,4.0,1,0,4,1,820.0,1245.9155
17.5,4.0,1,0,4,0,838.0,817.4186
21.4,3.0,1,0,4,1,2089.0,1078.0782
25.6,4.0,1,0,4,2,884.0,901.9454
16.15,4.0,1,0,4,0,496.0,838.9188
17.1,3.0,1,0,4,1,820.0,1269.7498
15.05,3.0,1,0,4,3,822.0,814.644
26.9,4.0,1,0,4,0,560.0,890.0051
21.4,3.0,1,0,4,0,820.0,890.7514
17.1,4.0,1,0,4,2,820.0,850.4702
17.35,5.0,1,0,4,0,270.0,806.9943
15.5,6.0,1,0,4,2,597.0,844.7695
21.4,2.0,1,0,4,2,820.0,821.5005
19.0,5.0,1,0,4,0,1230.0,832.51086
20.0,3.0,1,0,4,3,347.0,853.67535
22.1,3.0,1,0,4,0,648.0,884.3008
21.4,2.0,1,0,4,2,820.0,821.5005
21.4,2.0,1,0,4,3,2796.0,838.3813
17.15,6.0,1,0,4,3,849.0,865.07715
18.7,6.0,1,0,4,0,1242.0,836.6367
28.95,6.0,1,0,4,2,986.0,921.01587
21.4,2.0,1,0,4,0,918.0,835.4477
18.0,2.0,1,0,4,2,404.0,810.6084
25.5,5.0,1,0,4,2,868.0,912.1997
21.4,2.0,1,0,4,0,820.0,835.4477
21.4,4.0,1,0,4,2,820.0,896.38055
21.4,6.0,1,0,4,2,441.0,947.0279
21.4,5.0,1,0,4,2,553.0,945.38574
24.7,5.0,1,0,4,2,415.0,912.1997
21.75,5.0,1,0,4,0,312.0,892.9538
15.5,2.0,1,0,4,0,300.0,805.0645
16.7,4.0,1,0,4,2,844.0,842.6304
21.4,3.0,1,0,3,1,820.0,1071.0625
21.4,4.0,1,0,3,1,820.0,1071.0625
21.4,3.0,1,0,3,1,820.0,1071.0625
21.4,3.0,1,0,3,1,820.0,1071.0625
21.4,3.0,1,0,3,1,820.0,1071.0625
19.76,4.0,1,0,3,1,820.0,1191.1179
21.45,5.0,1,0,3,1,2803.0,1400.8396
26.34,6.0,1,0,3,3,767.0,905.87177
46.01,3.0,1,0,3,3,757.0,986.4224
16.67,3.0,1,0,3,1,820.0,1266.267
37.0,8.0,1,0,3,1,820.0,1247.4626
22.04,6.0,1,0,3,3,820.0,908.43646
21.4,2.0,1,0,3,3,820.0,839.836
22.24,5.0,1,0,3,0,820.0,885.9382
18.47,3.0,1,0,3,1,820.0,1235.9635
16.86,4.0,1,0,3,3,820.0,856.02435
16.56,4.0,1,0,3,3,720.0,858.01855
21.4,3.0,1,0,3,3,820.0,905.2431
21.76,3.0,1,0,3,3,2731.0,899.02386
32.45,4.0,1,0,3,3,2759.0,944.83167
16.36,4.0,1,0,3,3,533.0,857.6852
25.15,4.0,1,0,3,1,2175.0,1313.4346
22.26,4.0,1,0,3,3,820.0,899.02386
15.57,3.0,1,0,3,3,820.0,852.5613
17.36,4.0,1,0,3,3,602.0,848.8231
31.14,6.0,1,0,3,3,820.0,949.7272
16.16,4.0,1,0,3,3,272.0,857.6852
15.45,3.0,1,0,0,1,2446.0,1271.1077
36.95,4.0,1,0,0,0,594.0,983.7935
21.4,3.0,1,0,0,0,613.0,922.10657
41.65,6.0,1,0,0,2,1301.0,1069.4171
16.1,4.0,1,0,0,2,1762.0,833.3255
34.3,5.0,1,0,0,0,806.0,1001.3887
46.25,6.0,1,0,0,0,2860.0,1069.3494
20.95,3.0,1,0,0,2,1527.0,890.3024
15.9,3.0,1,0,0,0,820.0,844.74945
19.2,4.0,1,0,0,2,386.0,852.1456
19.4,3.0,1,0,0,2,547.0,852.1499
30.4,3.0,1,0,0,0,661.0,981.99524
15.9,3.0,1,0,0,0,820.0,844.74945
20.9,2.0,1,0,0,2,607.0,833.2779
51.8,6.0,1,0,0,0,519.0,1154.5889
19.65,4.0,1,0,0,0,964.0,869.05
26.4,6.0,1,0,0,2,911.0,921.632
22.05,5.0,1,0,0,0,696.0,933.7318
42.45,3.0,1,0,0,3,1708.0,1057.1162
31.75,7.0,1,0,0,0,629.0,1043.1525
24.4,5.0,1,0,0,2,559.0,929.8989
20.9,3.0,1,0,0,0,820.0,917.95807
20.15,5.0,1,0,0,2,462.0,911.9949
20.95,3.0,1,0,0,2,736.0,890.3024
21.4,3.0,1,0,1,1,2462.0,1069.0425
17.0,4.0,1,0,1,1,820.0,1225.1174
15.45,4.0,1,0,1,3,333.0,805.2086
16.0,3.0,1,0,1,3,820.0,816.2817
21.4,3.0,1,0,1,1,820.0,1069.0425
48.1,6.0,1,0,1,3,2355.0,1074.804
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,3.0,2,0,7,1,378.0,881.0508
23.4267,5.0,2,0,7,1,954.0,840.5181
21.4,3.0,2,0,7,3,399.0,757.292
22.0069,6.0,2,0,7,0,820.0,873.84534
35.495,5.0,2,0,7,2,820.0,843.9923
21.4,3.0,2,0,7,1,820.0,881.0508
21.297,4.0,2,0,7,3,820.0,756.5763
21.4,3.0,2,0,7,0,820.0,859.05133
22.0069,6.0,2,0,7,0,820.0,873.84534
21.4,2.0,2,0,7,0,820.0,828.9639
21.4,3.0,2,0,7,2,820.0,768.1582
29.1059,8.0,2,0,7,2,820.0,802.5259
21.4,3.0,2,0,7,2,820.0,768.1582
24.8465,7.0,2,0,7,2,338.0,764.46936
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,6.0,2,0,7,0,820.0,951.5729
21.4,7.0,2,0,7,0,820.0,1019.91534
21.4,3.0,2,0,7,0,413.0,859.05133
21.4,3.0,2,0,7,0,820.0,859.05133
34.075199999999995,8.0,2,0,7,0,820.0,869.97345
21.4,3.0,2,0,7,3,820.0,757.292
21.4,3.0,2,0,7,0,820.0,859.05133
18.4574,4.0,2,0,7,1,1480.0,902.7165
25.5564,7.0,2,0,7,1,820.0,878.59863
15.6178,5.0,2,0,7,3,398.0,756.2365
21.4,3.0,2,0,7,1,316.0,881.0508
42.94895,3.0,2,0,7,1,1734.0,991.10583
21.4,3.0,2,0,7,1,820.0,881.0508
23.07175,8.0,2,0,7,1,668.0,806.77295
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,3.0,2,0,7,3,820.0,757.292
22.7168,3.0,2,0,7,0,820.0,846.6799
22.7168,5.0,2,0,7,0,820.0,864.72125
21.4,4.0,2,0,7,0,820.0,863.6358
30.5257,8.0,2,0,7,0,455.0,891.0586
21.4,4.0,2,0,7,0,310.0,863.6358
26.2663,8.0,2,0,7,0,820.0,867.1539
21.4,3.0,2,0,7,3,368.0,757.292
21.4,4.0,2,0,7,3,534.0,756.2609
33.3653,5.0,2,0,7,0,820.0,899.5211
21.4,7.0,2,0,7,0,820.0,1019.91534
22.0069,5.0,2,0,7,0,332.0,867.4281
20.5871,8.0,2,0,7,0,292.0,890.8328
21.4,2.0,2,0,7,2,398.0,745.3828
22.7168,3.0,2,0,7,2,338.0,760.9654
32.6554,5.0,2,0,7,1,820.0,957.53394
24.8465,6.0,2,0,7,3,478.0,766.2268
17.7475,4.0,2,0,7,0,820.0,834.118
32.6554,3.0,2,0,7,0,820.0,849.189
21.4,3.0,2,0,7,0,559.0,859.05133
25.5564,5.0,2,0,7,0,820.0,867.223
21.4,4.0,2,0,7,0,820.0,863.6358
21.4,3.0,2,0,7,3,312.0,757.292
21.4,3.0,2,0,7,0,374.0,859.05133
21.4,3.0,2,0,7,1,820.0,881.0508
21.4,4.0,2,0,7,3,564.0,756.2609
21.4,3.0,2,0,7,0,820.0,859.05133
29.8158,8.0,2,0,7,2,820.0,798.76953
21.4,3.0,2,0,7,0,820.0,859.05133
22.7168,4.0,2,0,7,2,752.0,760.9654
31.9455,6.0,2,0,7,2,1629.0,851.12933
22.7168,3.0,2,0,7,2,705.0,760.9654
35.495,6.0,2,0,7,2,820.0,843.9923
21.4,7.0,2,0,7,1,2488.0,1053.3203
21.4,4.0,2,0,7,3,519.0,756.2609
31.9455,5.0,2,0,7,2,282.0,851.12933
21.4,3.0,2,0,7,0,820.0,859.05133
